G1G48-1549-MONOMER	G1G48-1549	Q5LT96	carbon monoxide dehydrogenase	
G1G48-3778-MONOMER	G1G48-3778	Q5LM45	sulfurtransferase	
CPLX1G48-12			predicted ABC transporter of a polyamine	
G1G48-1717-MONOMER	G1G48-1717	Q5LSS8	thioesterase	
G1G48-490-MONOMER	G1G48-490	Q5LW59	50S ribosomal protein L2	
G1G48-776-MONOMER	G1G48-776	Q5LVD6	(Fe-S)-binding protein	
G1G48-2070-MONOMER	G1G48-2070	Q5LRU2	hypothetical protein	
G1G48-3030-MONOMER	G1G48-3030	Q5LP68	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO	
G1G48-1070-MONOMER	G1G48-1070		hypothetical protein	
G1G48-1147-MONOMER	G1G48-1147	Q5LUC7	cytochrome c	
G1G48-3997-MONOMER	G1G48-3997		chromosome condensation protein CrcB	
G1G48-40-MONOMER	G1G48-40	Q5LWJ9	ABC transporter permease	
G1G48-541-MONOMER	G1G48-541	Q5LW09	tRNA 2-thiocytidine(32) synthetase TtcA	
G1G48-3224-MONOMER	G1G48-3224		hypothetical protein	
G1G48-340-MONOMER	G1G48-340	Q5LXB9	hypothetical protein	
G1G48-4330-MONOMER	G1G48-4330	Q5LKM8	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	
CPLX1G48-21			predicted ABC transporter of a branched-chain amino acid	
G1G48-3489-MONOMER	G1G48-3489		mechanosensitive ion channel protein MscS	
CPLX1G48-1			predicted ABC transporter of urea	
G1G48-3674-MONOMER	G1G48-3674	Q5LME5	ABC transporter permease	
G1G48-1119-MONOMER	G1G48-1119	Q5LUF4	hypothetical protein	
G1G48-715-MONOMER	G1G48-715	Q5LVJ6	ABC transporter permease	
G1G48-1472-MONOMER	G1G48-1472	Q5LTH3	fatty acid desaturase	
G1G48-397-MONOMER	G1G48-397	Q5LXH3	amino acid dehydrogenase	
G1G48-223-MONOMER	G1G48-223		ribosome silencing factor RsfS	
G1G48-4043-MONOMER	G1G48-4043	Q5LLE2	transcriptional regulator	
G1G48-2782-MONOMER	G1G48-2782	Q5LPW6	type I restriction-modification system, M subunit	
G1G48-1321-MONOMER	G1G48-1321	Q5LTW7	phasin, PhaP	
CPLX1G48-32			predicted ABC transporter of a peptide	
G1G48-817-MONOMER	G1G48-817		hypothetical protein	
G1G48-4382-MONOMER	G1G48-4382	Q5LKH7	enoyl-CoA hydratase	
G1G48-3768-MONOMER	G1G48-3768	Q5LM53	MFS transporter	
G1G48-3899-MONOMER	G1G48-3899		hypothetical protein	
G1G48-1027-MONOMER	G1G48-1027	Q5LUN5	ABC transporter ATP-binding protein	
G1G48-458-MONOMER	G1G48-458	Q5LW91	D-alanyl-D-alanine carboxypeptidase	
G1G48-1111-MONOMER	G1G48-1111		hypothetical protein	
G1G48-2185-MONOMER	G1G48-2185	Q5LRI1	hypothetical protein	
G1G48-2393-MONOMER	G1G48-2393	Q5LQX9	hypothetical protein	
G1G48-1648-MONOMER	G1G48-1648	Q5LSZ8	transcriptional regulator	
CPLX1G48-25			predicted ABC transporter of a polar amino acid	
G1G48-3305-MONOMER	G1G48-3305	Q5LNF0	ribosome maturation factor RimM	
G1G48-1539-MONOMER	G1G48-1539		PQQ-dependent dehydrogenase, methanol/ethanol family	
G1G48-1534-MONOMER	G1G48-1534	Q5LTB1	pyrroloquinoline quinone biosynthesis protein B	
G1G48-1216-MONOMER	G1G48-1216		amino acid permease	
G1G48-4245-MONOMER	G1G48-4245		XRE family transcriptional regulator	
G1G48-2100-MONOMER	G1G48-2100	Q5LRR3	membrane protein	
CPLX1G48-42			predicted ABC transporter of a C4-dicarboxylate	
G1G48-3081-MONOMER	G1G48-3081	Q5LP21	ketohydroxyglutarate aldolase	
G1G48-1566-MONOMER	G1G48-1566	Q5LT80	sugar transferase	
G1G48-1025-MONOMER	G1G48-1025	Q5LUN7	glycosyl transferase family 2	
G1G48-3644-MONOMER	G1G48-3644	Q5LMH5	antibiotic biosynthesis monooxygenase	
G1G48-419-MONOMER	G1G48-419		hypothetical protein	
G1G48-2607-MONOMER	G1G48-2607	Q5LQC9	isomerase	
G1G48-1518-MONOMER	G1G48-1518	Q5LTC7	hypothetical protein	
G1G48-16-MONOMER	G1G48-16	Q5LWG5	sterol carrier protein	
G1G48-2883-MONOMER	G1G48-2883		peptide ABC transporter permease	
G1G48-2131-MONOMER	G1G48-2131		ammonia channel protein	
G1G48-959-MONOMER	G1G48-959		hypothetical protein	
G1G48-2845-MONOMER	G1G48-2845	Q5LPQ2	phosphoglycolate phosphatase, bacterial	
CPLX1G48-47			predicted ABC transporter of a C4-dicarboxylate	
G1G48-1378-MONOMER	G1G48-1378	Q5LTR4	hypothetical protein	
G1G48-1653-MONOMER	G1G48-1653	Q5LSZ3	competence protein TfoX	
G1G48-2710-MONOMER	G1G48-2710		peptide ABC transporter ATP-binding protein	
G1G48-1953-MONOMER	G1G48-1953	Q5LS52	SAM-dependent methyltransferase	
G1G48-749-MONOMER	G1G48-749	Q5LVG3	enoyl-CoA hydratase	
G1G48-2389-MONOMER	G1G48-2389	Q5LQY3	c-type cytochrome biogenesis protein CcmI	
G1G48-937-MONOMER	G1G48-937	Q5LUX4	hypothetical protein	
G1G48-2358-MONOMER	G1G48-2358	Q5LR11	protein translocase subunit SecD	
G1G48-4011-MONOMER	G1G48-4011	Q5LLH3	nitrous oxide reductase accessory protein	
G1G48-3529-MONOMER	G1G48-3529	Q5LMT7	polyamine ABC transporter permease	
G1G48-3628-MONOMER	G1G48-3628	Q5LMJ1	cysteine hydrolase	
G1G48-1960-MONOMER	G1G48-1960	Q5LS46	hypothetical protein	
G1G48-2554-MONOMER	G1G48-2554	Q5LQH9	RNA polymerase-binding protein DksA	
G1G48-3509-MONOMER	G1G48-3509	Q5LMV7	guanylate cyclase	
G1G48-2639-MONOMER	G1G48-2639	Q5LQ99	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	
G1G48-822-MONOMER	G1G48-822	Q5LV90	50S ribosomal protein L25/general stress protein Ctc	
G1G48-2072-MONOMER	G1G48-2072		DNA recombination/repair protein RecA	
G1G48-1790-MONOMER	G1G48-1790		bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase	
G1G48-707-MONOMER	G1G48-707	Q5LVK4	molybdenum ABC transporter ATP-binding protein	
G1G48-3634-MONOMER	G1G48-3634	Q5LMI5	6-O-methylguanine DNA methyltransferase	
G1G48-1012-MONOMER	G1G48-1012	Q5LUQ0	ATP-dependent Clp protease proteolytic subunit	ClpP
G1G48-4123-MONOMER	G1G48-4123	Q5LL75	di-haem cytochrome c peroxidase family protein	
G1G48-552-MONOMER	G1G48-552	Q5LVZ9	excinuclease ABC subunit B	
G1G48-1555-MONOMER	G1G48-1555	Q5LT90	quinoprotein dehydrogenase-associated SoxYZ-like carrier	
G1G48-2727-MONOMER	G1G48-2727	Q5LQ15	preprotein translocase subunit TatC	
G1G48-3137-MONOMER	G1G48-3137		general secretion pathway protein	
G1G48-1737-MONOMER	G1G48-1737		hypothetical protein	
G1G48-3705-MONOMER	G1G48-3705	Q5LMB5	uroporphyrinogen decarboxylase	
G1G48-1494-MONOMER	G1G48-1494	Q5LTF1	C4-dicarboxylate ABC transporter permease	
G1G48-4184-MONOMER	G1G48-4184		Heme/copper-type cytochrome/quinol oxidase subunit 3	
G1G48-583-MONOMER	G1G48-583	Q5LVW9	TetR family transcriptional regulator	
G1G48-1712-MONOMER	G1G48-1712	Q5LST3	iron-sulfur cluster scaffold-like protein	
G1G48-316-MONOMER	G1G48-316	Q5LX89	hypothetical protein	
G1G48-2379-MONOMER	G1G48-2379		hypothetical protein	
G1G48-4230-MONOMER	G1G48-4230	Q5LKX0	LacI family transcriptional regulator	
G1G48-2271-MONOMER	G1G48-2271		hypothetical protein	
G1G48-1520-MONOMER	G1G48-1520		hypothetical protein	
G1G48-2031-MONOMER	G1G48-2031	Q5LRX7	HlyD family type I secretion periplasmic adaptor subunit	
G1G48-1261-MONOMER	G1G48-1261		hypothetical protein	
G1G48-3288-MONOMER	G1G48-3288	Q5LNG7	transcriptional regulator	
G1G48-3205-MONOMER	G1G48-3205	Q5LNP8	hypothetical protein	
G1G48-4331-MONOMER	G1G48-4331	Q5LKM7	aspartate aminotransferase family protein	
G1G48-4168-MONOMER	G1G48-4168	Q5LL31	c-type cytochrome biogenesis protein CcmF	
G1G48-918-MONOMER	G1G48-918	Q5LUZ4	prolipoprotein diacylglyceryl transferase	
G1G48-3986-MONOMER	G1G48-3986	Q5LLJ0	NADH:ubiquinone reductase (Na(+)-transporting) subunit B	
G1G48-656-MONOMER	G1G48-656		hypothetical protein	
G1G48-2960-MONOMER	G1G48-2960		thioesterase	
G1G48-3671-MONOMER	G1G48-3671	Q5LME8	AraC family transcriptional regulator	
G1G48-3208-MONOMER	G1G48-3208	Q5LNP5	2-hydroxychromene-2-carboxylate isomerase	
G1G48-4420-MONOMER	G1G48-4420	Q5LKD7	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA	
G1G48-195-MONOMER	G1G48-195		chemotaxis protein MotB	
G1G48-829-MONOMER	G1G48-829		enamidase	
G1G48-2102-MONOMER	G1G48-2102		patatin	
G1G48-2322-MONOMER	G1G48-2322	Q5LR46	transcriptional regulator	
G1G48-3134-MONOMER	G1G48-3134	Q5LNW8	hypothetical protein	
G1G48-2016-MONOMER	G1G48-2016	Q5LRZ2	hypothetical protein	
G1G48-4279-MONOMER	G1G48-4279	Q5LKS3	RNA-binding transcriptional accessory protein	
G1G48-550-MONOMER	G1G48-550	Q5LW01	amino acid dehydrogenase	
G1G48-3296-MONOMER	G1G48-3296	Q5LNF9	signal recognition particle protein	
G1G48-845-MONOMER	G1G48-845		cyclase	
G1G48-3762-MONOMER	G1G48-3762	Q5LM59	ABC transporter permease	
G1G48-545-MONOMER	G1G48-545	Q5LW05	50S ribosomal protein L34	
G1G48-239-MONOMER	G1G48-239	Q5LX24	saccharopine dehydrogenase	
G1G48-758-MONOMER	G1G48-758		hypothetical protein	
G1G48-1318-MONOMER	G1G48-1318	Q5LTX0	hypothetical protein	
G1G48-2437-MONOMER	G1G48-2437	Q5LQU1	carbon monoxide dehydrogenase	
G1G48-3340-MONOMER	G1G48-3340	Q5LNC2	ABC transporter ATP-binding protein	
G1G48-2977-MONOMER	G1G48-2977	Q5LPB9	thymidine phosphorylase	
G1G48-2280-MONOMER	G1G48-2280	Q5LR87	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	
G1G48-2763-MONOMER	G1G48-2763	Q5LPX9	multidrug transporter	
G1G48-1255-MONOMER	G1G48-1255	Q5LU27	hypothetical protein	
G1G48-2657-MONOMER	G1G48-2657		DNA-binding protein	
G1G48-4027-MONOMER	G1G48-4027	Q5LLF7	ABC transporter permease	
G1G48-3966-MONOMER	G1G48-3966	Q5LLL4	endoribonuclease YbeY	
G1G48-553-MONOMER	G1G48-553		hypothetical protein	
G1G48-3231-MONOMER	G1G48-3231	Q5LNM2	30S ribosomal protein S4	
G1G48-3436-MONOMER	G1G48-3436	Q5LN28	FkbM family methyltransferase	
G1G48-2794-MONOMER	G1G48-2794	Q5LPV5	malonate transporter	
G1G48-3882-MONOMER	G1G48-3882	Q5LLU9	haloacid dehalogenase	
G1G48-1684-MONOMER	G1G48-1684		hypothetical protein	
G1G48-559-MONOMER	G1G48-559	Q5LVZ2	histidine phosphatase family protein	
G1G48-2624-MONOMER	G1G48-2624	Q5LQB4	acetolactate synthase small subunit	
G1G48-1963-MONOMER	G1G48-1963		hypothetical protein	
G1G48-2930-MONOMER	G1G48-2930	Q5LPG7	xanthine dehydrogenase	
G1G48-4072-MONOMER	G1G48-4072	Q5LLC3	transcriptional regulator	
G1G48-3016-MONOMER	G1G48-3016		hypothetical protein	
G1G48-216-MONOMER	G1G48-216		epimerase	
CPLX1G48-50			predicted ABC transporter of a C4-dicarboxylate	
G1G48-840-MONOMER	G1G48-840		aldehyde oxidase	
G1G48-931-MONOMER	G1G48-931	Q5LUY1	RND transporter	
G1G48-2557-MONOMER	G1G48-2557	Q5LQH6	hypothetical protein	
G1G48-616-MONOMER	G1G48-616		ABC transporter substrate-binding protein	
G1G48-1178-MONOMER	G1G48-1178	Q5LU96	hypothetical protein	
G1G48-1205-MONOMER	G1G48-1205		hypothetical protein	
G1G48-3399-MONOMER	G1G48-3399	Q5LN65	hypothetical protein	
G1G48-1808-MONOMER	G1G48-1808		C4-dicarboxylate ABC transporter permease	
G1G48-3516-MONOMER	G1G48-3516	Q5LMV0	flagellar hook-length control protein FliK	
G1G48-2459-MONOMER	G1G48-2459	Q5LQS2	3-hydroxyisobutyrate dehydrogenase	
G1G48-2172-MONOMER	G1G48-2172	Q5LRJ3	methyltransferase	
G1G48-906-MONOMER	G1G48-906	Q5LV06	hypothetical protein	
G1G48-3842-MONOMER	G1G48-3842	Q5LLY3	hypothetical protein	
G1G48-3366-MONOMER	G1G48-3366	Q5LN96	sodium-dependent bicarbonate transport family permease	
G1G48-3444-MONOMER	G1G48-3444	Q5LN20	RNA pseudouridine synthase	
G1G48-49-MONOMER	G1G48-49	Q5LWJ0	thiamine phosphate synthase	
G1G48-2900-MONOMER	G1G48-2900		hypothetical protein	
G1G48-289-MONOMER	G1G48-289	Q5LX77	hypothetical protein	
G1G48-4332-MONOMER	G1G48-4332	Q5LKM6	homoserine kinase	
G1G48-2004-MONOMER	G1G48-2004	Q5LS04	3-oxoacyl-ACP reductase	
G1G48-952-MONOMER	G1G48-952	Q5LUV7	AsmA family protein	
CPLX1G48-55			predicted ABC transporter of a C4-dicarboxylate	
G1G48-2272-MONOMER	G1G48-2272	Q5LR96	peptidyl-prolyl cis-trans isomerase	
G1G48-4406-MONOMER	G1G48-4406	Q5LKF2	hypothetical protein	
G1G48-1335-MONOMER	G1G48-1335	Q5LTV5	ATP-binding protein	
G1G48-1611-MONOMER	G1G48-1611	Q5LT35	aminomethyltransferase	
G1G48-712-MONOMER	G1G48-712	Q5LVJ9	ABC transporter ATP-binding protein	
G1G48-2665-MONOMER	G1G48-2665		Fe-S cluster assembly protein HesB	
G1G48-1337-MONOMER	G1G48-1337	Q5LTV3	hypothetical protein	
G1G48-58-MONOMER	G1G48-58	Q5LWK0	protein translocase subunit SecA 1	
G1G48-3775-MONOMER	G1G48-3775		hypothetical protein	
G1G48-1913-MONOMER	G1G48-1913	Q5LS91	cytochrome c-type biogenesis protein CcmE 1	
G1G48-946-MONOMER	G1G48-946	Q5LUW3	peptidase M48	
G1G48-1465-MONOMER	G1G48-1465		AraC family transcriptional regulator	
G1G48-2405-MONOMER	G1G48-2405		amino acid ABC transporter permease	
G1G48-4370-MONOMER	G1G48-4370	Q5LKI9	DNA-directed RNA polymerase sigma-70 factor	
G1G48-1363-MONOMER	G1G48-1363		DUF4440 domain-containing protein	
G1G48-280-MONOMER	G1G48-280	Q5LX69	cytochrome b	
G1G48-3689-MONOMER	G1G48-3689	Q5LMD1	molybdenum cofactor biosynthesis protein MoaE	
G1G48-2868-MONOMER	G1G48-2868	Q5LPN0	hypothetical protein	
G1G48-1982-MONOMER	G1G48-1982	Q5LS26	hypothetical protein	
G1G48-2351-MONOMER	G1G48-2351		hemagglutination activity protein	
G1G48-3388-MONOMER	G1G48-3388	Q5LN76	hypothetical protein	
G1G48-4194-MONOMER	G1G48-4194	Q5LL06	protein nirF	
G1G48-1281-MONOMER	G1G48-1281	Q5LU07	DNA topoisomerase IV subunit B	
G1G48-1977-MONOMER	G1G48-1977	Q5LS31	branched-chain amino acid ABC transporter substrate-binding protein	
G1G48-1969-MONOMER	G1G48-1969	Q5LS39	phosphopantetheine-binding protein	
G1G48-1275-MONOMER	G1G48-1275		paraquat-inducible membrane protein A	
G1G48-180-MONOMER	G1G48-180	Q5LWX6	flagella basal body P-ring formation protein FlgA	
G1G48-3085-MONOMER	G1G48-3085	Q5LP17	aspartate kinase	
G1G48-2160-MONOMER	G1G48-2160	Q5LRK5	hypothetical protein	
G1G48-878-MONOMER	G1G48-878	Q5LV34	outer membrane protein assembly factor	
G1G48-3715-MONOMER	G1G48-3715	Q5LMA5	serine-type D-Ala-D-Ala carboxypeptidase	
G1G48-1956-MONOMER	G1G48-1956	Q5LS49	cysteine synthase A	
G1G48-2092-MONOMER	G1G48-2092	Q5LRS1	heme A synthase	
G1G48-975-MONOMER	G1G48-975	Q5LUT4	NUDIX hydrolase	
G1G48-3795-MONOMER	G1G48-3795	Q5LM28	peroxiredoxin	
G1G48-4093-MONOMER	G1G48-4093	Q5LLA4	IS5 family transposase ISSpo9	
G1G48-177-MONOMER	G1G48-177		hypothetical protein	
G1G48-1583-MONOMER	G1G48-1583	Q5LT63	potassium transporter	
G1G48-1435-MONOMER	G1G48-1435	Q5LTL1	methionine--tRNA ligase	
G1G48-3518-MONOMER	G1G48-3518	Q5LMU8	aminoglycoside phosphotransferase	
G1G48-2827-MONOMER	G1G48-2827	Q5LPS2	NADH-quinone oxidoreductase subunit F	
G1G48-3439-MONOMER	G1G48-3439	Q5LN25	FAD-dependent oxidoreductase	
G1G48-1382-MONOMER	G1G48-1382	Q5LTR0	potassium transporter TrkH	
G1G48-811-MONOMER	G1G48-811	Q5LVA1	AMP-dependent synthetase	
G1G48-1322-MONOMER	G1G48-1322	Q5LTW6	polyhydroxyalkanoate synthesis repressor PhaR	
G1G48-2988-MONOMER	G1G48-2988	Q5LPA8	serine hydroxymethyltransferase	GlyA
G1G48-3590-MONOMER	G1G48-3590	Q5LMM8	peptide ABC transporter permease	
G1G48-171-MONOMER	G1G48-171	Q5LWW8	trimethylamine methyltransferase	
G1G48-3092-MONOMER	G1G48-3092	Q5LP10	amino acid ABC transporter	
G1G48-4044-MONOMER	G1G48-4044		hypothetical protein	
G1G48-2722-MONOMER	G1G48-2722	Q5LQ20	hypothetical protein	
G1G48-945-MONOMER	G1G48-945		hypothetical protein	
G1G48-2566-MONOMER	G1G48-2566	Q5LQG7	glutamine-synthetase adenylyltransferase	
G1G48-1229-MONOMER	G1G48-1229		voltage-gated chloride channel	
G1G48-2630-MONOMER	G1G48-2630	Q5LQA8	peptide chain release factor 2	
G1G48-4152-MONOMER	G1G48-4152		hypothetical protein	
G1G48-635-MONOMER	G1G48-635		hypothetical protein	
G1G48-1726-MONOMER	G1G48-1726	Q5LSR9	aminotransferase class I/II	
G1G48-3203-MONOMER	G1G48-3203	Q5LNQ0	monooxygenase	
G1G48-733-MONOMER	G1G48-733	Q5LVH8	twin transmembrane helix small protein	
G1G48-1967-MONOMER	G1G48-1967	Q5LS41	peptidoglycan-binding protein	
G1G48-3293-MONOMER	G1G48-3293	Q5LNG2	quinolinate synthetase	
G1G48-846-MONOMER	G1G48-846	Q5LV66	thioesterase	
G1G48-2996-MONOMER	G1G48-2996	Q5LPA0	AraC family transcriptional regulator	
G1G48-838-MONOMER	G1G48-838	Q5LV74	hypothetical protein	
CPLX1G48-2			predicted ABC transporter of molybdate	
G1G48-1678-MONOMER	G1G48-1678	Q5LSW8	ABC transporter permease	
G1G48-1835-MONOMER	G1G48-1835	Q5LSG9	hypothetical protein	
G1G48-2215-MONOMER	G1G48-2215	Q5LRF3	acetoin utilization protein AcuC	
G1G48-961-MONOMER	G1G48-961	Q5LUU8	hypothetical protein	
G1G48-3829-MONOMER	G1G48-3829	Q5LLZ5	aldehyde-activating protein	
G1G48-4333-MONOMER	G1G48-4333	Q5LKM5	hypothetical protein	
G1G48-2262-MONOMER	G1G48-2262		hypothetical protein	
G1G48-777-MONOMER	G1G48-777	Q5LVD5	FkbM family methyltransferase	
G1G48-343-MONOMER	G1G48-343	Q5LXB6	hypothetical protein	
G1G48-852-MONOMER	G1G48-852	Q5LV60	colanic acid biosynthesis glycosyltransferase WcaL	
G1G48-2155-MONOMER	G1G48-2155	Q5LRL0	disulfide bond formation protein B	
G1G48-478-MONOMER	G1G48-478	Q5LW70	phosphonate C-P lyase system protein PhnK	
G1G48-1746-MONOMER	G1G48-1746	Q5LSQ3	urease subunit beta	
G1G48-459-MONOMER	G1G48-459	Q5LW90	2-dehydro-3-deoxyphosphooctonate aldolase	
G1G48-508-MONOMER	G1G48-508	Q5LW42	50S ribosomal protein L18	
G1G48-1032-MONOMER	G1G48-1032	Q5LUN0	response regulator	
G1G48-2811-MONOMER	G1G48-2811	Q5LPT8	type III pantothenate kinase	
G1G48-3983-MONOMER	G1G48-3983	Q5LLI8	3,4-dihydroxyphenylacetate 2,3-dioxygenase	
G1G48-1277-MONOMER	G1G48-1277	Q5LU10	lipoprotein	
G1G48-1604-MONOMER	G1G48-1604	Q5LPA8	serine hydroxymethyltransferase	GlyA
G1G48-2684-MONOMER	G1G48-2684	Q5LQ57	molybdopterin biosynthesis protein	
G1G48-682-MONOMER	G1G48-682	Q5LVM8	hypothetical protein	
G1G48-2023-MONOMER	G1G48-2023	Q5LRY4	GTPase ObgE	ObgE
G1G48-2546-MONOMER	G1G48-2546	Q5LQI6	arginine--tRNA ligase	
G1G48-103-MONOMER	G1G48-103	Q5LWP5	3-methyl-2-oxobutanoate hydroxymethyltransferase	
G1G48-4281-MONOMER	G1G48-4281	Q5LKS2	sulfoacetaldehyde acetyltransferase	
G1G48-938-MONOMER	G1G48-938	Q5LUX3	S-adenosylmethionine-binding protein	
G1G48-2124-MONOMER	G1G48-2124	Q5LRN9	PAS domain-containing sensor histidine kinase	
G1G48-3914-MONOMER	G1G48-3914	Q5LLR8	uroporphyrinogen-III synthase	
G1G48-434-MONOMER	G1G48-434		hypothetical protein	
G1G48-4389-MONOMER	G1G48-4389	Q5LKG9	oxidoreductase	
G1G48-3522-MONOMER	G1G48-3522	Q5LMU4	polyamine ABC transporter ATP-binding protein	
G1G48-819-MONOMER	G1G48-819	Q5LV93	hypothetical protein	
G1G48-2297-MONOMER	G1G48-2297	Q5LR71	tail protein	
G1G48-3562-MONOMER	G1G48-3562	Q5LMQ6	DNA-directed RNA polymerase subunit beta'	
CPLX1G48-58			predicted ABC transporter of a C4-dicarboxylate	
G1G48-2596-MONOMER	G1G48-2596	Q5LQD7	glutathione ABC transporter permease	
G1G48-1024-MONOMER	G1G48-1024	Q5LUN8	3-hydroxybutyrate dehydrogenase	
G1G48-411-MONOMER	G1G48-411	Q5LWD8	histidine phosphatase family protein	
G1G48-3486-MONOMER	G1G48-3486	Q5LMX8	DNA polymerase III subunit delta	
G1G48-2586-MONOMER	G1G48-2586	Q5LQE7	GntR family transcriptional regulator	
G1G48-3336-MONOMER	G1G48-3336	Q5LNC6	arylsulfatase	
G1G48-1209-MONOMER	G1G48-1209	Q5LU68	transcriptional regulator family protein	
G1G48-2129-MONOMER	G1G48-2129	Q5LRN4	phosphatidylglycerophosphatase A	
G1G48-1636-MONOMER	G1G48-1636	Q5LT10	LysR family transcriptional regulator	
G1G48-499-MONOMER	G1G48-499	Q5LW51	cyclic nucleotide-binding protein	
G1G48-1489-MONOMER	G1G48-1489	Q5LTF6	transcriptional regulator	
G1G48-3667-MONOMER	G1G48-3667		hypothetical protein	
G1G48-331-MONOMER	G1G48-331	Q5LXB0	transcriptional regulator	
G1G48-1976-MONOMER	G1G48-1976		ABC transporter ATP-binding protein	
G1G48-3883-MONOMER	G1G48-3883	Q5LLU8	50S ribosomal protein L23	
G1G48-3147-MONOMER	G1G48-3147	Q5LNV6	3-hydroxyisobutyrate dehydrogenase	
G1G48-3758-MONOMER	G1G48-3758	Q5LM63	benzoyl-CoA oxygenase subunit B	
G1G48-1240-MONOMER	G1G48-1240		hypothetical protein	
G1G48-1813-MONOMER	G1G48-1813	Q5LSJ1	dihydropyrimidine dehydrogenase subunit B	
G1G48-1894-MONOMER	G1G48-1894	Q5LSB0	ribosomal RNA large subunit methyltransferase E	
G1G48-4334-MONOMER	G1G48-4334	Q5LKM4	DNA-binding response regulator	
G1G48-516-MONOMER	G1G48-516	Q5LW34	30S ribosomal protein S13	
G1G48-3154-MONOMER	G1G48-3154		sulfurase	
G1G48-144-MONOMER	G1G48-144	Q5LWU4	XRE family transcriptional regulator	
G1G48-268-MONOMER	G1G48-268		EamA family transporter	
G1G48-1292-MONOMER	G1G48-1292	Q5LTZ6	aspartate aminotransferase	
G1G48-2507-MONOMER	G1G48-2507	Q5LQM4	agmatinase	
G1G48-29-MONOMER	G1G48-29		RNA methyltransferase	
G1G48-154-MONOMER	G1G48-154	Q5LWV3	DNA polymerase III subunit beta	
G1G48-2256-MONOMER	G1G48-2256	Q5LRB2	hypothetical protein	
G1G48-4045-MONOMER	G1G48-4045		hypothetical protein	
G1G48-1829-MONOMER	G1G48-1829	Q5LSH5	cytochrome c	
G1G48-3793-MONOMER	G1G48-3793	Q5LM30	MerR family transcriptional regulator	
G1G48-2762-MONOMER	G1G48-2762	Q5LPY0	type I secretion target repeat-containing protein	
G1G48-3455-MONOMER	G1G48-3455	Q5LN09	XRE family transcriptional regulator	
G1G48-4134-MONOMER	G1G48-4134	Q5LL64	hydroxymethylglutaryl-CoA reductase, degradative	
G1G48-4262-MONOMER	G1G48-4262	Q5LKT9	hypothetical protein	
G1G48-3250-MONOMER	G1G48-3250	Q5LNK3	holo-ACP synthase	
G1G48-3632-MONOMER	G1G48-3632	Q5LMI7	membrane protein	
G1G48-3595-MONOMER	G1G48-3595	Q5LMM3	hypothetical protein	
G1G48-3730-MONOMER	G1G48-3730	Q5LM90	type I secretion target repeat-containing protein	
G1G48-3900-MONOMER	G1G48-3900	Q5LLT1	30S ribosomal protein S15	
G1G48-1843-MONOMER	G1G48-1843	Q5LSG2	flavin oxidoreductase	
G1G48-2391-MONOMER	G1G48-2391	Q5LQY1	DUF1289 domain-containing protein	
G1G48-2200-MONOMER	G1G48-2200	Q5LRG6	hypothetical protein	
G1G48-2252-MONOMER	G1G48-2252	V5V0K4	hypothetical protein	
G1G48-2478-MONOMER	G1G48-2478	Q5LQQ3	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	
G1G48-3186-MONOMER	G1G48-3186	Q5LNR7	isoleucine--tRNA ligase	
G1G48-890-MONOMER	G1G48-890	Q5LV23	acyl-CoA dehydrogenase	
G1G48-262-MONOMER	G1G48-262	Q5LX51	hypothetical protein	
G1G48-902-MONOMER	G1G48-902	Q5LV10	5-(carboxyamino)imidazole ribonucleotide synthase	
G1G48-1392-MONOMER	G1G48-1392	Q5LTQ1	diguanylate cyclase	
G1G48-3041-MONOMER	G1G48-3041	Q5LP58	D-aminoacyl-tRNA deacylase	
G1G48-3116-MONOMER	G1G48-3116	Q5LNY6	D-2-hydroxyacid dehydrogenase	
G1G48-690-MONOMER	G1G48-690	Q5LVM0	glyoxalase	
G1G48-600-MONOMER	G1G48-600	Q5LVV3	TRAP transporter permease DctQ	
G1G48-3027-MONOMER	G1G48-3027	Q5LP71	hypothetical protein	
G1G48-859-MONOMER	G1G48-859	Q5LV53	polyketide synthase	
G1G48-2932-MONOMER	G1G48-2932	Q5LPG5	acetolactate synthase large subunit	
G1G48-2465-MONOMER	G1G48-2465	Q5LQR6	lactate dehydrogenase	
G1G48-233-MONOMER	G1G48-233		EamA family transporter	
G1G48-3733-MONOMER	G1G48-3733	Q5LM87	acetylornithine deacetylase	
G1G48-4012-MONOMER	G1G48-4012	Q5LLH2	cytochrome c	
G1G48-554-MONOMER	G1G48-554	Q5LVZ7	transposase	
G1G48-3309-MONOMER	G1G48-3309		tRNA (guanine(37)-N(1))-methyltransferase	
G1G48-3189-MONOMER	G1G48-3189	Q5LNR4	hypothetical protein	
G1G48-2107-MONOMER	G1G48-2107	Q5LRQ6	benzoate--CoA ligase	
G1G48-4246-MONOMER	G1G48-4246	Q5LKV5	aspartate aminotransferase family protein	
